               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13192,             0.12574,                   0,           0.0033333,            0.010753,           0.0016957,          0.00037898,             0.13416,             0.15201,                   0,                 0.1,                   0,                   0
                   1,             0.12335,            0.088161,                   0,           0.0044444,            0.010753,           0.0022867,          0.00051407,             0.13289,             0.16216,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13025,             0.11252,                   0,           0.0055556,            0.013441,           0.0028655,          0.00062763,             0.13225,             0.16391,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13363,             0.12683,                   0,           0.0033333,           0.0080645,            0.001701,          0.00068326,               0.132,             0.16394,                   0,            0.097298,          0.00029822,          0.00029822
                   4,            0.088088,             0.15672,                   0,           0.0022222,           0.0053763,            0.001138,           0.0004549,             0.13178,             0.16318,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13229,             0.12545,                   0,           0.0033333,           0.0080645,           0.0016974,          0.00051003,              0.1317,             0.16312,                   0,            0.095495,          0.00049505,          0.00049505
                   6,            0.092539,             0.13812,                   0,           0.0041667,            0.013441,           0.0021255,          0.00050868,             0.13196,             0.16148,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12872,             0.10643,                   0,           0.0016667,           0.0053763,          0.00084196,          0.00029623,             0.13206,             0.15935,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12616,             0.11488,                   0,              0.0025,           0.0080645,           0.0012643,          0.00029547,             0.13247,             0.15712,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.12754,            0.092722,                   0,           0.0041667,            0.013441,           0.0021401,          0.00046885,             0.13299,             0.15367,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12161,             0.08407,                   0,           0.0041667,            0.013441,           0.0021298,           0.0004673,             0.13337,             0.15221,                   0,             0.09098,           0.0009802,           0.0009802
                  11,            0.090631,             0.17397,                   0,           0.0033333,            0.010753,           0.0017079,          0.00038272,              0.1329,             0.15353,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.13401,             0.12593,                   0,           0.0033333,            0.010753,           0.0016906,          0.00029661,             0.13246,             0.15469,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.12816,            0.071858,                   0,           0.0016667,           0.0053763,          0.00084272,          0.00016965,             0.13353,             0.14859,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12484,            0.083006,                   0,          0.00083333,           0.0026882,           0.0004327,           4.327e-05,             0.13244,             0.15302,                   0,            0.087361,           0.0013612,           0.0013612
                  15,            0.086948,             0.12074,                   0,           0.0041667,            0.013441,           0.0021223,          0.00025421,             0.13088,             0.15939,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12262,            0.087713,                   0,           0.0066667,            0.021505,           0.0034113,           0.0005521,             0.13039,             0.16073,                   0,            0.085549,           0.0015493,           0.0015493
                  17,            0.085317,             0.13947,                   0,           0.0066667,            0.021505,           0.0034113,           0.0005521,             0.13039,             0.16073,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.12803,             0.10087,                   0,           0.0083333,            0.026882,            0.004288,          0.00055486,             0.12953,             0.16301,                   0,            0.083736,           0.0017358,           0.0017358
                  19,            0.092953,             0.13582,                   0,           0.0083333,            0.026882,            0.004288,          0.00055486,             0.12953,             0.16301,                   0,            0.082829,           0.0018285,           0.0018285
