               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13084,             0.14972,                   0,           0.0041667,            0.013441,           0.0021268,           0.0003802,             0.13397,             0.15236,                   0,                 0.1,                   0,                   0
                   1,             0.13349,             0.16625,                   0,           0.0044444,            0.010753,           0.0022853,          0.00051295,             0.13298,             0.16268,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13638,             0.15542,                   0,           0.0044444,            0.010753,           0.0023084,          0.00063203,             0.13251,             0.16419,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.12117,             0.09467,                   0,           0.0033333,           0.0080645,           0.0017051,           0.0006853,             0.13232,             0.16488,                   0,            0.097298,          0.00029822,          0.00029822
                   4,            0.092582,             0.16542,                   0,           0.0022222,           0.0053763,           0.0011459,          0.00057297,               0.132,             0.16603,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.12963,             0.12213,                   0,           0.0022222,           0.0053763,           0.0011483,          0.00045886,             0.13177,             0.16607,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.13104,             0.10833,                   0,           0.0044444,            0.010753,           0.0022845,          0.00045723,             0.13186,             0.16439,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12733,             0.12526,                   0,           0.0033333,           0.0080645,           0.0016837,          0.00045254,             0.13198,             0.16297,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.13211,             0.14212,                   0,           0.0033333,            0.010753,           0.0017013,          0.00051086,             0.13189,             0.16169,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.13096,             0.13369,                   0,           0.0033333,            0.010753,           0.0017154,          0.00038467,             0.13206,             0.16122,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12634,             0.13643,                   0,           0.0088889,            0.021505,            0.004609,           0.0015556,              0.1321,             0.15426,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.12509,             0.12375,                   0,           0.0044444,            0.010753,           0.0022482,          0.00067679,             0.13469,             0.13462,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.13211,             0.13328,                   0,           0.0033333,            0.010753,           0.0016903,          0.00050556,             0.13628,             0.11847,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.13582,             0.14981,                   0,              0.0025,           0.0080645,           0.0012608,          0.00042092,             0.13691,             0.11015,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12583,             0.12346,                   0,           0.0016667,           0.0053763,          0.00084459,          0.00029561,             0.13686,             0.10921,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.13052,             0.14249,                   0,           0.0016667,           0.0053763,          0.00084641,          0.00012685,             0.13716,             0.10515,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12854,             0.11717,                   0,          0.00083333,           0.0026882,          0.00042617,          4.2617e-05,             0.13736,             0.10256,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.12087,             0.10266,                   0,          0.00083333,           0.0026882,          0.00042617,          4.2617e-05,             0.13736,             0.10256,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.12872,             0.12308,                   0,           0.0016667,           0.0053763,          0.00083849,          8.3849e-05,              0.1376,             0.10154,                   0,            0.083736,           0.0017358,           0.0017358
                  19,             0.13068,             0.14097,                   0,           0.0016667,           0.0053763,          0.00083849,          8.3849e-05,              0.1376,             0.10154,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.12703,              0.1673,                   0,          0.00083333,           0.0026882,          0.00042024,          4.2024e-05,             0.13686,             0.10446,                   0,            0.081921,           0.0019208,           0.0019208
                  21,             0.12547,             0.10364,                   0,          0.00083333,           0.0026882,          0.00042024,          4.2024e-05,             0.13686,             0.10446,                   0,            0.081013,           0.0020127,           0.0020127
                  22,             0.13002,             0.11052,                   0,                   0,                   0,                   0,                   0,             0.13666,             0.10471,                   0,            0.080104,           0.0021042,           0.0021042
                  23,             0.13604,             0.15619,                   0,                   0,                   0,                   0,                   0,             0.13666,             0.10471,                   0,            0.079195,           0.0021953,           0.0021953
                  24,             0.13391,             0.15163,                   0,                   0,                   0,                   0,                   0,             0.13676,             0.10377,                   0,            0.078286,            0.002286,            0.002286
                  25,              0.1328,             0.14143,                   0,                   0,                   0,                   0,                   0,             0.13676,             0.10377,                   0,            0.077376,           0.0023762,           0.0023762
                  26,              0.1253,             0.14451,                   0,                   0,                   0,                   0,                   0,             0.13616,             0.10723,                   0,            0.076466,           0.0024662,           0.0024662
                  27,             0.12664,             0.11967,                   0,                   0,                   0,                   0,                   0,             0.13616,             0.10723,                   0,            0.075556,           0.0025557,           0.0025557
                  28,              0.1275,             0.15356,                   0,                   0,                   0,                   0,                   0,             0.13603,             0.10727,                   0,            0.074645,           0.0026448,           0.0026448
                  29,            0.089734,             0.14975,                   0,                   0,                   0,                   0,                   0,             0.13603,             0.10727,                   0,            0.073733,           0.0027335,           0.0027335
                  30,             0.12377,             0.09818,                   0,          0.00066667,           0.0026882,          0.00033543,          3.3543e-05,             0.13407,               0.119,                   0,            0.072822,           0.0028218,           0.0028218
                  31,             0.12117,            0.084723,                   0,          0.00066667,           0.0026882,          0.00033543,          3.3543e-05,             0.13407,               0.119,                   0,             0.07191,           0.0029097,           0.0029097
                  32,             0.12974,             0.14374,                   0,                   0,                   0,                   0,                   0,             0.13113,             0.13855,                   0,            0.070997,           0.0029972,           0.0029972
                  33,             0.12637,             0.11158,                   0,                   0,                   0,                   0,                   0,             0.13113,             0.13855,                   0,            0.070084,           0.0030844,           0.0030844
                  34,             0.11996,            0.097369,                   0,                   0,                   0,                   0,                   0,             0.13014,             0.14363,                   0,            0.069171,           0.0031711,           0.0031711
                  35,             0.12745,             0.10273,                   0,                   0,                   0,                   0,                   0,             0.13014,             0.14363,                   0,            0.068257,           0.0032574,           0.0032574
                  36,             0.12485,             0.10775,                   0,           0.0013333,           0.0053763,          0.00067152,          0.00023488,             0.12969,               0.146,                   0,            0.067343,           0.0033434,           0.0033434
                  37,             0.12134,             0.10854,                   0,           0.0013333,           0.0053763,          0.00067152,          0.00023488,             0.12969,               0.146,                   0,            0.066429,           0.0034289,           0.0034289
                  38,             0.12494,            0.093204,                   0,           0.0026667,            0.010753,           0.0013944,          0.00021614,             0.12882,             0.15207,                   0,            0.065514,           0.0035141,           0.0035141
                  39,             0.11877,            0.084637,                   0,           0.0026667,            0.010753,           0.0013944,          0.00021614,             0.12882,             0.15207,                   0,            0.064599,           0.0035988,           0.0035988
                  40,             0.12204,             0.12149,                   0,          0.00066667,           0.0026882,          0.00035199,          3.5199e-05,             0.12876,             0.15158,                   0,            0.063683,           0.0036832,           0.0036832
                  41,             0.12563,             0.14464,                   0,          0.00066667,           0.0026882,          0.00035199,          3.5199e-05,             0.12876,             0.15158,                   0,            0.062767,           0.0037672,           0.0037672
                  42,             0.12272,              0.1124,                   0,                   0,                   0,                   0,                   0,             0.12818,             0.15547,                   0,            0.061851,           0.0038507,           0.0038507
